"Address","Style","Status","TFA SF","TBeds","TBaths","List Price","Sold Price","Sold Date","YrBlt","DOM","Lot Sq Metres"
"8151 81 Avenue NW","ST2","X","1,409.01","3","2.1","$565,000",,,"2022","133","254.01"
"3349 KULAY Way","ST2","T","2,084.99","3","2.1","$574,900",,,"2022","120",
"12604 43 Street","ST2","X","1,640.00","3","2.1","$575,000",,,"2022","182","436.17"
"3219 16 Avenue","ST2","X","2,074.01","3","2.1","$578,000",,,"2013","125","399.92"
"1047 Graham Ct","ST2","T","1,748.93","4","3.1","$579,900",,,"2001","32",
"17543 61 Street","ST2","T","2,217.38","4","3.1","$585,000",,,"2015","75",
"1631 12 Avenue","ST2","T","1,890.05","3","2.1","$589,900",,,"2022","88","343.07"
"603 ADAMS Way","ST2","T","2,386.16","3","2.1","$589,900",,,"2008","36","495.76"
"710 ADAMS Way","ST2","T","2,184.02","3","2.1","$595,900",,,"2011","40","390.01"
"18232 94 Street","ST2","X","2,226.00","4","3.0","$597,500",,,"2022","87","337.17"
"9829 83 Avenue","ST2","X","1,829.88","5","2.1","$599,000",,,"1987","93","404.68"
"10503 129 Street","ST2","X","1,319.67","3","1.0","$599,000",,,"1944","127","740.00"
"10748 74 Avenue","ST2","X","1,248.62","4","3.1","$599,800",,,"2023","121",
"10750 74 Avenue","ST2","X","1,248.62","4","3.1","$599,800",,,"2023","121",
"13711 102 Avenue","BUNG","X","1,402.01","3","3.0","$599,800",,,"1951","151",
"1628 14 Avenue","ST2","X","1,759.70","4","3.0","$599,900",,,"2022","82",
"14002 106 Avenue","ST2","T","1,768.20","5","2.1","$599,900",,,"1977","57","641.07"
"11403 106 Street","ST2","T","1,792.10","5","3.1","$599,999",,,"2021","43",
